cut_2026,year,bonus_total_uf
05702,1988,3893.6400000000003
05702,1989,966.2
05702,1999,764.1999999999999
05702,2000,1921.34
05702,2001,529.54
05702,2002,3461.29
05702,2003,1017.09
05702,2004,889.38
05702,2005,1817.41
05702,2006,4952.91
05702,2008,172.42
05702,2009,85.56
05702,2010,9156.87
05702,2011,9286.03
05702,2012,6702.5599999999995
05702,2013,3468.55
05702,2014,4762.63
05702,2015,3158.16
05702,2016,1561.64
05702,2017,3545.1
05702,2018,1294.85
05702,2019,15573.64
05703,1988,1194.9
05703,1989,7483.68
05703,1990,5835.38
05703,1992,434.92
05703,1994,2732.14
05703,1996,1586.61
05703,2001,1376.6
05703,2003,626.85
05703,2004,933.59
05703,2005,836.74
05703,2006,1563.6100000000001
05703,2007,4250.6
05703,2008,5850.2699999999995
05703,2009,3340.56
05703,2010,1246.73
05703,2011,3789.99
05703,2012,3804.6099999999997
05703,2013,1034.62
05703,2014,2016.14
05703,2015,5562.08
05703,2016,554.03
05703,2017,3186.62
05703,2018,8252.9
05703,2019,2611.9900000000002
05704,1988,3185.27
05704,1990,384.05
05704,1991,699.99
05704,1992,3988.21
05704,1993,2911.21
05704,1994,9944.82
05704,1995,1734.31
05704,1996,3769.42
05704,1997,5381.22
05704,1998,1143.43
05704,2000,566.95
05704,2001,9868.29
05704,2002,7359.240000000001
05704,2003,814.76
05704,2004,2617.5699999999997
05704,2005,2596.3900000000003
05704,2006,5258.38
05704,2007,11320.24
05704,2008,6449.889999999999
05704,2010,6613.3
05704,2011,8098.58
05704,2012,2864.8100000000004
05704,2013,6499.22
05704,2014,9947.689999999999
05704,2015,2083.51
05704,2016,2521.39
05704,2017,1648.71
05704,2018,1025.52
05705,1990,767.88
05705,1991,5543.64
05705,1992,762.36
05705,1993,1097.88
05705,1996,4918.4
05705,1997,44930.549999999996
05705,1998,30048.29
05705,1999,66527.4
05705,2000,54524.64
05705,2001,31006.38
05705,2002,22787.13
05705,2003,29834.45
05705,2004,15260.569999999998
05705,2005,15960.109999999999
05705,2006,3059.62
05705,2007,5675.28
05705,2008,7921.01
05705,2009,11994.539999999999
05705,2010,4245.39
05705,2011,6723.13
05705,2012,1481.8
05705,2013,6449.6
05705,2014,8817.93
05705,2015,410.82
05705,2016,1241.67
05705,2017,1576.79
05705,2018,4089.5600000000004
05705,2019,14039.48
05706,1988,1793.77
05706,1996,344.06
05706,1998,2442.6800000000003
05706,1999,9399.16
05706,2000,2283.8199999999997
05706,2001,4722.96
05706,2002,15148.33
05706,2003,8054.88
05706,2004,2600.66
05706,2005,2194.64
05706,2006,2235.67
05706,2007,1668.12
05706,2008,907.08
05706,2012,399.36
05706,2013,776.22
05706,2014,1450.46
05706,2015,6372.32
05706,2016,1304.26
05706,2017,9411.05
05706,2018,2832.66
05706,2019,936.22
05801,1988,4039.78
05801,1991,3842.63
05801,1992,2463.54
05801,1998,2992.12
05801,2012,930.4
05802,1987,1457.26
05802,1988,7678.09
05802,1989,9444.85
05802,1990,6996.16
05802,1991,8330.75
05802,1992,2514.7000000000003
05802,1993,6911.94
05802,1994,3437.4
05802,1995,2180.07
05802,1996,3773.2
05802,1997,12645.47
05802,1998,1533.3400000000001
05802,1999,9005.25
05802,2001,2182.61
05802,2002,4647.69
05802,2003,5015.17
05802,2004,20302.35
05802,2005,3956.61
05802,2007,4122.780000000001
05802,2008,1679.99
05802,2009,4610.59
05802,2010,5198.4400000000005
05802,2011,9299.0
05802,2012,482.64
05802,2015,779.79
05802,2016,346.13
05802,2017,1900.75
05802,2019,13994.22
05803,1988,1609.94
05803,1989,5146.72
05803,1990,224.3
05803,1992,691.79
05803,1994,2109.92
05803,1996,442.4
05803,1997,273.87
05803,1998,2115.5499999999997
05803,2000,1165.15
05803,2001,1778.1399999999999
05803,2002,370.5
05803,2004,684.51
05803,2005,543.03
05803,2006,2920.13
05803,2009,908.06
05803,2010,2152.03
05803,2011,524.57
05803,2014,141.3
05804,1988,1760.49
05804,1989,6058.33
05804,1991,642.52
05804,1993,441.25
05804,1994,309.88
05804,2004,451.21
06101,1988,5023.23
06101,1992,171.67
06101,2000,1768.63
06101,2001,1672.31
06101,2002,1114.4299999999998
06101,2003,2463.38
06101,2004,1691.58
06101,2005,1262.41
06101,2006,1528.3
06101,2007,3633.1400000000003
06101,2008,1604.4099999999999
06101,2009,2542.34
06101,2010,1653.37
06101,2011,1413.72
06101,2012,2903.85
06101,2013,6668.69
06101,2014,9058.830000000002
06101,2015,6463.3099999999995
06101,2016,2062.7
06101,2017,3464.8199999999997
06101,2018,16271.53
06101,2019,2603.49
06102,1988,2631.91
06102,1989,993.65
06102,1990,3689.49
06102,1998,389.36
06102,2001,4570.92
06102,2002,1917.3400000000001
06102,2003,633.0
06102,2004,1517.8000000000002
06102,2005,3719.04
06102,2006,2335.55
06102,2007,3158.08
06102,2008,4749.26
06102,2009,3581.5099999999998
06102,2010,481.42
06102,2011,1018.69
06102,2012,1593.6100000000001
06102,2013,2067.48
06102,2015,5370.79
06102,2016,1463.4
06102,2017,1086.82
06102,2018,7894.860000000001
06102,2019,6237.91
06103,2007,390.56
06103,2008,563.65
06103,2010,4086.19
06103,2012,671.61
06103,2013,1451.92
06103,2015,1097.09
06103,2018,1886.17
06104,1988,1604.74
06104,1997,2041.5
06104,1998,8690.15
06104,2000,9382.24
06104,2001,2894.7400000000002
06104,2002,9432.150000000001
06104,2004,6413.32
06104,2005,4001.98
06104,2006,2459.63
06104,2007,3331.18
06104,2008,1472.42
06104,2009,1279.37
06104,2010,549.36
06104,2012,2165.53
06104,2013,466.63
06104,2014,2553.48
06104,2015,2889.69
06104,2016,3260.8900000000003
06104,2017,3713.86
06104,2018,2012.3500000000001
06104,2019,1863.31
06105,1988,1344.89
06105,1989,2952.08
06105,2003,8373.4
